clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Clostridia,33.37924,35.72218,27.24073,34.98905,35.17577,58.51328,36.1648,39.10785,45.13148,27.71929,27.83223,18.53174,25.65714,26.04412,30.29751,32.33899,31.86249,30.76256,46.63057,46.43132,33.01137,29.30037,18.2801,18.77384,27.24697,46.55136,42.62971,26.8496,28.05768,46.78563,43.62259,39.70872,29.19353,57.03384,27.89595,22.68848,16.30495,42.26155,37.35584,22.9189,29.42362,50.57962,29.5511,11.92692,25.11245,3.12831,6.67276,21.05296,22.09208,22.37901,47.06636,16.08178,7.06629,23.54471,42.85897,36.12219,40.84544,19.68604,20.96928,22.59069,12.5452,13.1103,25.86439,13.69136,29.2374,20.64461,49.84985,0.0,29.22359,25.65937,35.95701,45.96565,48.01928,10.3061,11.44289,34.46158,23.01646,19.05827,5.77185,14.45499,25.33891,4.0147,45.89151,45.80612,36.35496,29.42233,14.80422,25.72788,41.45337,24.16589,5.68911,41.17961,17.30582,11.05326,15.30894,45.70529,37.22015
Bacteroidia,54.46086,57.20022,64.24777,62.1358,58.45005,29.85388,49.75563,27.39318,50.50101,66.86409,62.70566,69.19387,60.69663,69.16859,45.53574,39.53068,48.28112,43.23168,26.78611,46.31534,53.35933,59.878,78.37602,58.94747,65.5908,36.42265,41.921,54.09094,53.14099,46.80864,39.57892,38.38947,53.00514,38.43309,61.00543,65.49423,76.25884,44.51887,54.51597,56.93569,61.72239,34.17375,60.94647,81.05805,64.99874,13.5469,76.10239,56.4446,62.91489,53.96485,42.33909,68.6774,26.63618,61.8102,43.76714,58.27186,50.57842,48.69686,75.67481,38.94492,80.85233,77.68581,42.67376,59.73812,42.96832,34.69854,29.87047,100.0,66.44116,69.89315,48.1032,35.48517,41.40205,64.8045,80.85791,15.47792,47.76402,77.6154,85.16571,73.00849,47.73533,95.9853,43.05079,28.85206,33.51363,32.28206,70.43869,64.96064,50.39446,40.08915,78.43135,17.88572,53.61241,65.54401,76.20046,38.78181,44.50124
Deltaproteobacteria,3.40988,0.21943,4.13168,0.53855,0.01328,3.67206,3.39535,0.84086,0.0112,0.39296,0.98201,0.0,6.30991,0.30639,4.53137,1.21829,6.56383,0.28595,2.00115,2.925,0.07905,1.55096,0.24176,1.34327,1.0122,1.8749,2.42864,0.65177,2.10204,0.0,0.92276,1.75144,0.63709,0.33676,0.43842,0.4976,0.1744,2.93305,1.58542,1.51663,0.26928,0.44942,0.20855,0.07543,0.37632,0.0,1.64968,7.29303,0.91702,1.45132,0.00797,7.64668,0.02026,1.25171,2.62985,0.0,1.0576,0.98097,1.02599,0.02856,0.13667,0.14889,0.10399,0.0,0.27115,0.00548,0.41797,0.0,0.06923,0.37974,1.50794,0.36364,2.15935,0.0,0.00441,0.30483,0.0,0.22863,0.00733,0.05942,0.09005,0.0,1.34081,0.0,5.82519,0.09104,1.00544,0.04335,0.03622,0.61932,0.0,2.85643,1.0196,0.01731,1.33178,3.87803,0.0868
Erysipelotrichia,0.31854,0.62843,0.28741,0.01885,0.01786,0.22183,0.12162,0.90635,0.22484,0.17463,0.05236,0.18369,0.23568,1.0789,0.23464,0.67098,0.05916,0.4597,0.1213,0.00988,0.23119,0.33662,0.04761,0.05579,0.1672,0.09779,0.69479,0.62536,1.08645,0.8218,0.22331,0.39621,0.45791,0.13731,1.0681,0.81219,0.21556,0.28411,0.10632,0.22161,0.70033,0.29988,0.03315,0.0,0.10991,0.05154,0.42794,0.19927,0.0,0.08903,0.69645,0.13932,0.20637,0.0728,0.05086,0.97517,0.03342,0.0,0.21835,0.21089,0.17704,0.31532,0.01969,0.38085,0.28837,0.16674,0.07629,0.0,0.08345,0.09595,1.695,0.60153,0.15182,1.78458,0.0,0.70144,0.15071,0.09849,0.10663,0.76962,0.10806,0.0,0.40739,0.53725,0.06701,0.1006,0.27698,0.46408,0.11073,1.09492,0.14988,0.35066,1.15386,0.27562,0.15426,0.1196,0.29219
Fusobacteriia,0.70865,0.47325,0.0,0.0,0.0,0.0,0.0,0.0,2.57472,0.0017,2.56612,0.0,0.61803,1.42686,0.0,0.01029,0.0,0.0,0.0725,0.0,0.14926,0.0,0.09528,0.0,4.75595,0.0,0.44908,0.0,0.0228,0.0,0.0,0.0,0.0,0.03049,0.02664,2.08724,1.78178,0.00212,0.01715,0.01328,0.00306,0.02944,0.44473,0.0,0.00263,1.97743,0.01214,1.51728,0.27334,0.11703,1.12251,0.15726,7.1096,0.0,0.2306,0.0,0.00054,0.08259,0.0,1.01572,0.0,0.06445,0.00333,0.58247,0.0,2.53802,0.31202,0.0,0.02013,0.00555,0.67494,0.05147,0.0,4.23286,0.11435,0.13286,0.0,0.0,2.09998,0.0004,1.13155,0.0,0.04936,2.61324,0.12882,0.94507,0.04095,0.00167,0.00722,0.05646,2.79044,0.56713,3.21757,6.5783,0.01388,0.00767,9.56537
Negativicutes,5.28628,0.57993,1.42673,0.55851,0.5926,0.84212,5.39584,2.99689,0.38556,1.35525,2.90326,0.44115,2.49743,0.98823,5.29781,1.15772,1.41468,0.67591,0.9202,1.04727,1.25082,2.13945,2.20357,1.8695,0.17955,1.42793,1.12357,4.12496,5.90557,2.68485,0.90813,11.89636,1.959,0.63248,5.12154,3.37286,1.99994,1.66152,2.47146,12.72262,2.63276,2.99772,2.48048,1.79107,2.5218,0.49016,6.03513,4.51951,7.41185,11.52042,1.72141,1.73136,3.42163,3.44423,2.25326,2.92625,2.33071,4.30201,0.49336,26.28321,3.17376,4.86871,7.39787,9.52169,1.4367,28.87375,8.2198,0.0,0.89815,0.22664,7.80305,1.48676,0.72199,5.70702,0.74476,12.11838,6.75764,0.10344,3.6036,5.71439,14.28602,0.0,0.81573,9.10734,12.58826,26.1488,3.49756,1.59703,2.06758,14.92454,2.06885,2.38769,6.65687,6.61583,3.79145,0.99429,2.46636
Betaproteobacteria,1.34633,1.29061,0.99835,0.0,0.27952,1.15787,0.0,0.30165,0.84823,1.54945,1.42016,0.0,1.34647,0.29669,1.31956,0.64142,1.37765,0.79568,0.53294,2.24611,0.94786,1.11643,0.36152,0.51086,0.67649,0.62882,1.13631,0.95672,0.78814,0.0,0.24564,1.55221,0.91644,1.48424,0.34061,1.83917,0.78086,0.35794,0.89796,0.17154,1.37126,0.20127,0.37578,3.77142,2.30721,0.16393,0.63696,1.65373,0.09868,0.17966,0.35117,1.08017,0.59502,0.02184,0.39673,0.61066,0.00889,15.20118,0.51283,0.15665,0.5843,0.8062,0.42817,0.03302,0.9745,1.34494,0.09485,0.0,0.76458,0.00302,0.97561,1.6781,0.04678,0.01398,0.0,0.6159,0.08881,2.44785,0.00518,1.62952,0.00539,0.0,0.94841,0.01733,0.21556,1.2323,1.81327,0.08632,1.33131,0.75992,6.21864,0.02941,1.89596,0.02441,0.38604,1.59191,1.37529
Gammaproteobacteria,0.72312,0.66259,0.07932,0.40412,2.29797,0.06021,0.23521,6.86081,0.03207,0.135,0.99143,11.21442,0.38566,0.23917,0.03367,0.5724,0.35603,0.33189,1.296,0.10714,0.75996,1.66053,0.12302,0.00609,0.37085,0.52561,0.69091,1.00745,3.92544,0.16959,0.96312,0.86228,0.522,0.47537,0.03024,0.07881,0.47189,0.19899,0.13494,0.11358,0.99093,0.28856,5.87388,0.0185,2.53714,79.29708,3.6798,4.27945,3.02746,0.06527,2.65291,1.27642,53.5382,0.39374,6.47964,0.65308,0.0617,0.37805,0.31391,3.59243,0.21447,0.09789,21.63483,8.5259,8.3338,5.29118,0.10196,0.0,0.073,0.76607,1.25381,0.85551,5.28973,1.94585,0.01046,0.76096,7.65615,0.14618,2.27183,0.22192,3.40799,0.0,1.68028,6.39773,0.78702,2.09305,1.15438,0.12891,1.55724,3.82322,0.31091,31.48551,5.41859,4.83993,0.1022,0.04407,3.1902
Actinomycetia,9e-05,0.03633,0.20594,0.09976,0.0,0.38456,2.45244,0.07265,0.02353,0.24352,0.02119,0.41986,0.60678,0.31807,0.78023,0.1709,1.00168,0.0,0.0,0.29864,0.02697,0.1074,0.00495,0.67222,0.0,0.2331,2.19238,0.03029,0.0349,0.58201,3.48571,0.02679,0.04879,0.16752,0.88267,0.01906,1.90537,0.01652,0.49757,2.27541,0.0,0.0,0.06789,0.0,0.07356,0.16461,0.04913,0.02029,0.0,0.25023,0.57922,0.10386,0.23392,0.06279,0.0,0.01046,0.90394,1.26662,0.14298,0.48303,0.31336,0.87742,0.31891,0.10022,1.34521,0.08109,0.01837,0.0,0.11595,0.05259,0.13067,0.748,0.0,2.16551,0.67294,2.44929,0.0,0.03254,0.0,0.01283,0.29757,0.0,0.08835,1.53647,0.07328,0.26134,4.3532,0.24328,0.91128,0.07954,0.18352,2.13423,0.00078,0.02238,0.0001,0.12923,0.00948
Bacilli,0.02418,1.27172,0.05121,0.00671,0.0,2.3382,0.28145,2.84796,0.15684,0.54774,0.02981,0.01526,0.53158,0.01627,0.45692,5.50866,1.02425,0.27634,2.28283,0.0,0.88657,0.87848,0.0056,11.09095,0.0,1.45515,2.91005,4.48547,2.79283,0.09086,0.28137,0.10182,5.18092,0.24399,0.13156,0.04544,0.0185,2.67782,0.00722,0.72184,0.11606,6.35798,0.0,0.02435,0.97438,0.33154,3.46772,2.38103,1.0592,4.57335,1.79494,2.94452,0.81008,3.89867,0.20058,0.27477,3.43359,9.30129,0.34268,5.98867,1.56467,1.88472,0.9527,6.1478,0.95716,5.64312,7.04615,0.0,0.07729,0.22261,0.12245,1.67625,1.59483,8.30212,6.00025,32.13077,10.45964,0.01886,0.91057,0.06868,4.13374,0.0,2.60684,4.94664,6.53459,7.19512,0.92677,0.11143,1.87697,8.72228,3.04133,0.67915,9.63243,3.20431,0.05832,2.29781,1.1409
