clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Lachnospiraceae,7.2003,18.58535,10.56396,21.92439,18.80062,24.6298,5.96424,7.46433,25.53485,10.82965,18.33689,12.06403,10.79812,20.98295,12.33631,14.40008,13.1172,6.94209,12.18982,21.07633,17.55578,12.894,11.41935,7.98649,13.62598,14.28269,21.33861,8.92817,13.0259,25.57371,7.29614,13.64242,14.64901,32.80947,10.53908,9.00533,9.98825,13.03621,18.73579,11.28578,11.47812,25.4489,7.92006,3.79645,15.81301,1.57855,2.07057,8.03027,3.05082,14.63449,39.64432,4.93114,0.60206,12.3294,26.36757,7.93689,19.09033,10.36458,6.57566,9.59688,2.98247,4.62883,12.98178,10.20975,16.62762,6.67097,24.30216,0.0,11.30564,10.65068,25.43606,19.69676,25.01708,9.03886,0.74382,22.22634,3.95058,8.53054,3.58256,7.04514,4.60908,4.0147,29.81683,17.1449,22.75007,14.89879,4.92906,12.92727,29.93831,6.52324,3.18595,15.80883,10.29154,8.09718,7.35524,23.27206,31.19634
Bacteroidaceae,47.40343,41.29518,53.07367,21.84828,15.58407,23.73001,23.91352,6.95544,48.58964,19.8743,58.86194,69.13488,20.58984,66.1111,6.48289,21.10873,28.1129,23.96111,10.82271,42.04234,6.80655,33.8668,77.29296,48.98411,62.31057,26.40658,35.80057,33.81617,37.90315,43.22691,15.44466,5.73532,9.26562,31.96816,47.39872,58.42767,72.20973,39.51458,47.09598,43.36935,53.54612,30.2194,46.81256,18.48907,23.5467,13.00065,2.57671,15.41852,48.25342,48.73364,9.15512,67.30748,25.2747,52.63869,26.13621,44.8971,35.6825,47.47337,61.80967,29.63172,25.89205,70.50662,8.67204,58.85762,36.08529,31.40278,24.19988,64.94357,17.25306,6.4671,38.69263,23.56603,39.30132,62.30457,72.00886,14.67741,6.44378,27.42682,83.75788,1.39911,32.02511,76.06167,40.04151,28.81647,22.12357,24.13834,52.768,38.78273,6.39103,18.93126,70.35247,17.62102,49.15554,62.11164,64.52719,19.78703,38.27851
Oscillospiraceae,6.43307,10.68876,7.94239,9.00028,13.90907,26.37439,19.11284,26.64404,12.98534,14.4896,5.95647,0.56213,9.67475,1.63246,9.01691,12.65995,15.47016,18.90934,25.00059,14.25482,8.66532,7.82584,4.01798,8.58831,12.60999,22.22498,10.43805,14.93907,9.484,15.01629,24.09783,9.23798,8.00254,14.72619,12.47435,8.75864,3.28833,18.2163,13.34613,8.30627,9.27136,14.43558,16.31497,5.14238,7.02637,1.22447,3.57243,9.73544,16.98725,4.53384,5.02595,8.68353,2.89,5.55654,11.02486,25.08414,15.90583,6.58036,8.02245,7.24521,6.69494,8.18099,5.49609,2.0376,5.484,7.92028,20.67486,0.0,13.45485,11.46938,8.15838,17.65865,14.44586,0.93015,8.50734,5.49545,14.10492,7.74032,1.37057,5.17296,15.64836,0.0,9.2927,17.93701,12.43906,10.23992,7.38072,6.98931,7.54038,8.24549,0.63297,23.60303,4.95048,0.52306,5.44988,12.73107,3.68663
Clostridiaceae,6.65586,4.13722,5.83911,1.81136,1.63259,4.15095,1.98582,3.00022,2.7045,1.05344,1.91487,5.90558,3.3367,2.78189,6.14897,3.55793,1.27337,2.62181,5.92927,7.61198,5.94159,6.94613,2.51937,1.11944,0.79635,7.19586,6.18822,2.19608,1.71381,5.30961,7.73656,14.46368,2.578,8.73686,2.57181,2.28537,2.70094,8.82566,2.16944,1.77481,7.70032,9.7678,4.94694,1.8885,1.20138,0.03862,0.43148,2.44248,1.79843,0.81588,1.44817,2.10871,2.85333,5.30074,5.0413,2.69751,4.85976,2.72245,4.17555,4.82982,2.31419,0.23176,7.20258,1.26125,5.41112,3.52728,4.16966,0.0,3.83695,2.49095,1.98425,6.52977,7.76884,0.07627,2.1909,5.47306,2.89721,1.22952,0.58943,1.69986,4.82653,0.0,5.30983,10.25694,1.13483,3.61643,1.22654,5.04227,1.9194,2.00942,1.82887,1.6391,1.82737,2.37585,1.21585,6.51671,2.29695
Desulfovibrionaceae,3.40988,0.21943,4.13168,0.53855,0.01328,3.67206,3.39535,0.84086,0.0112,0.39296,0.98201,0.0,6.30991,0.30639,4.53137,1.21829,6.56383,0.28595,2.00115,2.925,0.07905,1.55096,0.24176,1.34327,1.0122,1.8749,2.42864,0.65177,2.10204,0.0,0.92276,1.75144,0.63709,0.33676,0.43842,0.4976,0.1744,2.93305,1.58542,1.51663,0.26928,0.44942,0.20855,0.07543,0.37632,0.0,1.64968,7.29303,0.91702,1.45132,0.00797,7.64668,0.02026,1.25171,2.62985,0.0,1.0576,0.98097,1.02599,0.02856,0.13667,0.14889,0.10399,0.0,0.27115,0.00548,0.41797,0.0,0.06923,0.37974,1.50794,0.36364,2.15935,0.0,0.00441,0.30483,0.0,0.22863,0.00733,0.05942,0.09005,0.0,1.34081,0.0,5.82519,0.09104,1.00544,0.04335,0.03622,0.61932,0.0,2.85643,1.0196,0.01731,1.33178,3.87803,0.0868
Clostridia_unclassified,0.01964,0.0724,0.6485,0.00408,0.0,0.14356,3.27919,0.19665,3.0462,0.0401,0.22204,0.0,0.08139,0.0,0.19731,0.32429,0.34119,0.11371,0.85406,0.10491,0.12426,0.02685,0.05952,0.0,0.0,0.47683,0.16217,0.12935,0.42689,0.07543,0.33021,0.9722,0.14565,0.18399,0.13093,0.15423,0.03292,0.26943,0.74605,0.09131,0.21875,0.22178,0.1312,0.07384,0.00043,0.06271,0.01765,0.0,0.0,0.17615,0.07706,0.00425,0.17133,0.0,0.0,0.0,0.07913,0.0,0.95101,0.02308,0.02958,0.06367,0.0,0.11054,0.1105,2.50867,0.0,0.0,0.15884,0.03371,0.0945,0.38047,0.0,0.0,0.0,0.04397,0.0,0.00899,0.0,0.07119,0.00992,0.0,0.05462,0.0,0.0,0.0494,0.01445,0.06287,0.57457,0.03655,0.0,0.00049,0.0,0.0,0.0,0.102,0.0
Turicibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062,0.0,0.0,0.0,0.00874,0.0,0.0,0.0,0.0,0.0,0.00763,0.0,0.0,0.00109,0.00233,0.0,0.01139,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284,0.0,0.0,0.0,0.0,0.02178,0.06422,0.0,0.0,0.0,0.0,0.0,0.01228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00726,0.08241,0.0,0.0,0.03396,0.0,0.0,0.0,0.02378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00951,0.03469
Erysipelotrichaceae,0.31854,0.13333,0.00189,0.01789,0.0,0.17288,0.12162,0.63461,0.20044,0.17463,0.05236,0.18369,0.23568,0.92445,0.23464,0.66034,0.05216,0.21732,0.1213,0.00988,0.167,0.32329,0.04761,0.05579,0.1672,0.07493,0.3945,0.37075,0.52557,0.519,0.22098,0.35918,0.34344,0.13731,1.0681,0.1636,0.21556,0.14599,0.10632,0.22134,0.69911,0.04797,0.03315,0.0,0.10991,0.05154,0.32202,0.19927,0.0,0.08728,0.69529,0.13932,0.14848,0.0728,0.05086,0.97517,0.02957,0.0,0.15551,0.20363,0.02289,0.31532,0.01969,0.34793,0.22415,0.16674,0.07629,0.0,0.08345,0.09595,1.68273,0.13183,0.0,1.78458,0.0,0.70144,0.15071,0.09849,0.10663,0.29367,0.02565,0.0,0.29551,0.50329,0.05857,0.07442,0.25495,0.4403,0.11073,1.0904,0.14988,0.35066,1.12504,0.27562,0.1542,0.1087,0.25749
Fusobacteriaceae,0.70865,0.47325,0.0,0.0,0.0,0.0,0.0,0.0,2.57472,0.0017,2.56612,0.0,0.61803,1.42686,0.0,0.01029,0.0,0.0,0.0725,0.0,0.14926,0.0,0.09528,0.0,4.75595,0.0,0.44908,0.0,0.0228,0.0,0.0,0.0,0.0,0.03049,0.02664,2.08724,1.78178,0.00212,0.01715,0.01328,0.00306,0.02944,0.44473,0.0,0.00263,1.97743,0.01214,1.33631,0.27334,0.107,1.12251,0.15726,7.1096,0.0,0.2306,0.0,0.00054,0.08259,0.0,0.87543,0.0,0.06445,0.00333,0.58247,0.0,1.38242,0.17962,0.0,0.02013,0.00555,0.67494,0.05147,0.0,4.22853,0.11435,0.13286,0.0,0.0,2.09998,0.0004,1.13155,0.0,0.04136,2.61292,0.01319,0.76725,0.04095,0.0,0.00722,0.05646,2.79044,0.56713,3.21757,6.5515,0.01388,0.00767,9.56537
Tannerellaceae,2.23885,1.29357,1.39014,2.3166,0.21897,0.76415,2.57539,1.24537,1.60469,0.74481,1.76915,0.0,0.58161,1.01153,1.20707,1.10124,1.16237,3.3449,1.58782,0.34434,0.41867,1.2269,0.59545,0.56032,3.09959,0.83157,0.61772,1.87221,1.28566,1.01076,1.81714,1.82067,0.48964,2.96033,2.10459,1.6408,3.94928,1.0997,2.80658,0.21431,1.36415,0.25002,0.80478,0.89908,0.7713,0.30126,0.30744,0.58446,8.69947,0.67453,0.36561,0.99159,0.42565,0.81914,0.43073,0.0,1.62006,0.81349,1.22603,1.30757,3.93256,1.4279,0.58582,0.75719,1.28515,1.33716,1.01946,0.0,1.46122,0.47704,1.83588,1.37092,2.0044,2.46817,5.34901,0.3452,0.80223,0.95029,1.36382,0.30836,0.06397,0.0,0.71852,0.00791,0.57003,0.4697,3.46293,0.85885,0.38662,1.02014,2.94755,0.00995,1.36269,3.2477,1.60178,0.74406,0.07741
