clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Roseburia,4.18654,2.36828,5.755,2.84957,3.0308,4.34137,1.08072,0.7949,1.31629,3.48707,3.68778,0.0,1.3317,2.36127,0.73489,3.94216,5.81876,1.06945,0.39452,3.2834,8.31361,0.54094,1.53841,1.4559,0.0,1.58999,6.6861,0.71179,4.3792,2.2986,0.02323,2.24698,1.57113,6.16058,1.52144,1.18783,0.56238,2.46785,2.36185,1.46629,0.50741,6.75202,6.70605,0.89014,0.60159,0.0,0.13272,3.19607,1.49263,3.00655,3.20333,0.03081,0.11276,0.68639,2.82775,0.0,0.52022,4.61196,1.03276,0.59492,0.05507,0.00503,8.38223,0.97299,0.57186,0.01001,5.84873,0.0,2.96362,0.88936,4.26008,2.86136,3.13132,0.00553,0.00502,13.48431,0.91047,3.88472,0.02672,2.73341,0.04635,0.0,2.86348,0.00081,12.39723,6.53225,0.04463,4.69699,0.3222,1.25023,2.581,2.19027,0.00882,0.02111,2.4037,0.79573,2.70827
Phocaeicola,26.50683,30.70175,32.16196,14.24096,12.78402,10.14911,13.95186,1.50117,42.20104,15.34529,34.27816,0.02172,8.00889,37.17077,1.13828,17.01571,4.28742,3.55913,5.44501,26.13631,3.48262,20.67002,71.93438,7.4273,50.7234,6.31948,22.58314,14.02841,15.683,32.04986,3.73685,3.33669,6.15109,10.92355,19.91216,22.95733,40.9921,21.47916,29.43391,42.71263,22.23597,20.02535,24.95319,11.4211,18.67656,10.94314,1.85024,8.75457,29.64041,21.68519,6.48125,36.37103,13.35882,18.29753,11.57862,27.56178,17.61809,35.64149,33.77246,19.94054,17.612,33.09668,1.78778,47.83635,23.2337,26.49754,14.31689,64.94357,12.73417,1.73544,29.88458,18.17728,25.99383,39.58348,38.66695,11.81708,3.17433,21.25287,51.94769,1.2183,9.28162,51.32825,25.5555,13.92615,13.55764,18.10658,26.17586,23.23072,3.55937,12.36871,41.61229,0.24275,9.03836,37.4587,49.23282,15.69646,36.8256
Faecalibacterium,4.08097,7.26171,5.59565,5.89035,5.31258,17.26899,15.68653,6.28757,12.29572,8.75718,2.2537,0.00345,4.06204,1.34227,5.92833,4.16271,6.0027,2.45694,2.24357,10.83596,2.44141,2.81908,2.5563,5.61108,11.13565,5.99131,6.39037,2.52274,6.33998,8.89758,5.12039,5.81248,2.96918,7.07125,6.0297,4.70885,2.31875,8.44619,10.21586,6.84449,4.74149,7.94016,13.77231,2.88395,2.12812,1.22447,2.65208,8.8243,14.83653,3.63697,4.60333,7.58306,1.97202,3.01457,6.79546,23.83151,13.864,4.3761,5.43577,5.82007,4.9415,7.45728,5.14737,0.79592,1.89037,7.57136,16.95337,0.0,12.2878,8.60808,5.4924,6.93512,2.70564,0.01564,8.44861,2.88384,4.74579,6.54153,0.03594,4.46261,15.36498,0.0,6.56774,17.70071,9.73706,5.40229,2.29814,5.46249,6.37087,4.26545,0.58696,22.65608,0.03294,0.07376,4.03298,4.9879,3.29643
Blautia,0.31908,0.58318,0.29075,0.06458,0.0,0.5529,1.18815,0.33804,0.31479,0.59178,0.3771,0.02025,0.21824,0.20068,0.87998,0.44494,0.49286,0.92959,0.41826,0.70111,0.26681,0.05874,0.0541,0.21222,0.90685,0.39391,0.33574,0.53454,1.03772,1.46626,0.53741,0.49372,0.53131,1.5489,2.79006,1.87435,0.47721,1.03153,0.30277,1.14143,0.64664,0.77157,0.12621,0.05364,0.00906,0.10218,0.21852,0.64683,0.2031,0.45567,0.91048,0.49649,0.06958,0.23605,0.04147,0.72719,0.18483,0.04519,0.67912,0.4379,0.30832,0.02716,0.16802,0.03451,0.18304,0.05136,0.45237,0.0,0.96899,0.4097,0.90775,1.04882,0.03442,0.0,0.4738,1.49765,0.35681,1.29627,0.37147,0.34363,0.49663,0.0,1.5632,2.04258,0.98558,0.36623,0.58252,0.77034,0.196,0.40186,0.0558,2.5149,0.19555,0.01028,0.20381,0.67528,0.41961
Clostridium,6.24203,3.02336,5.68821,1.67418,1.34026,3.16923,1.38921,2.50146,1.96487,0.84997,1.36953,5.90558,1.41816,2.34886,1.65264,1.8628,0.76908,1.22241,4.94612,6.86479,5.29834,5.51035,2.51872,0.87381,0.79635,4.84834,4.62963,0.27739,0.79576,4.77633,0.56952,11.01583,1.2198,4.24732,2.19162,1.93599,2.41089,5.87167,1.38043,0.3707,7.32843,8.95232,4.83318,1.6633,0.45914,0.03542,0.33752,1.55987,1.41824,0.55957,0.38305,1.39265,2.63048,4.90578,4.39862,1.50683,2.98419,2.45465,3.57123,4.32493,2.01746,0.15962,6.78862,1.20917,5.22883,3.51326,2.17096,0.0,3.41378,1.81091,1.10443,4.2668,7.58804,0.03891,2.1909,4.90718,2.71721,0.64962,0.10229,1.35009,4.77704,0.0,4.68453,10.12883,0.99974,3.50489,0.64495,4.56038,1.5694,0.87859,1.82887,1.4427,0.21375,0.51578,0.87895,5.63385,2.01633
Desulfovibrio,2.46272,0.00013,4.13168,0.09788,0.01328,3.51515,2.37656,0.43508,0.0,0.27489,0.42481,0.0,6.08689,0.17271,4.29797,0.98816,6.31208,0.05967,1.36629,2.85885,0.04372,1.42997,0.04623,1.12081,1.0122,1.13977,2.30877,0.0,1.94993,0.0,0.46123,1.6436,0.32388,0.12336,0.01767,0.06835,0.0,2.62384,1.33095,1.49282,0.04143,0.28417,0.00409,0.0,0.11051,0.0,1.62707,7.29303,0.91702,1.22795,0.0,7.62013,0.02026,1.21606,2.62985,0.0,1.0576,0.98097,0.76417,0.01326,0.02728,0.0012,0.10181,0.0,0.0,0.00548,0.36987,0.0,0.0,0.08785,1.1364,0.17986,2.10819,0.0,0.0,0.30483,0.0,0.0,0.00733,0.0,0.00359,0.0,1.2309,0.0,5.78938,0.01557,0.02345,0.04335,0.00511,0.52579,0.0,2.8563,0.02085,0.01731,1.08859,3.64398,0.0868
Lachnospira,0.37485,8.59398,0.11818,1.11363,9.71028,5.78458,0.00353,1.69277,16.06104,1.92283,9.19053,0.0,3.23368,8.06324,0.43263,2.51779,5.21844,0.14624,7.76866,1.91433,5.42232,8.39162,3.58568,1.57995,0.0,2.4179,4.07069,2.96667,3.13585,16.03583,3.33988,7.36038,0.05266,20.89434,2.03014,1.55512,5.74749,0.90973,13.4927,1.01296,2.67866,11.16391,0.04379,0.07236,2.23318,0.02441,0.05259,0.36859,0.10901,6.61189,21.29071,0.07506,0.01679,8.89081,10.27115,3.57825,9.446,0.0,0.79611,0.7494,0.03072,1.15159,2.96608,0.04456,10.14483,0.0241,14.90926,0.0,0.02919,4.84142,14.70224,3.9624,5.07808,0.02245,0.0359,1.1373,0.06863,0.14588,0.10155,1.75783,1.0539,4.0147,14.26352,0.00441,7.54191,0.45392,0.90698,1.59849,20.62994,0.02293,0.0,2.7184,0.04007,2.72272,1.2217,12.19693,21.45723
Mediterraneibacter,0.94076,0.22068,0.73279,0.31159,0.031,0.4123,0.94831,0.23361,4.2755,0.1493,0.2874,0.70153,0.21877,0.5169,0.69155,0.80369,0.12673,0.55026,0.36159,0.35605,0.16656,0.09855,0.34413,0.07886,2.66006,0.89302,0.27626,1.09785,1.35926,0.14141,1.28764,0.0646,0.17945,1.18872,0.61516,0.95025,1.48646,0.7552,0.18454,0.65088,1.21321,0.37811,0.40643,0.03507,3.36484,0.38031,0.00599,1.10051,0.27936,0.54776,2.56717,1.55408,0.20716,0.23251,0.50782,1.26608,0.58851,0.0,1.38913,1.74533,0.57542,2.0443,0.46038,1.12792,1.41906,2.12199,0.61826,0.0,0.55084,0.00839,0.54524,0.70819,0.49842,5.0944,0.18696,1.52649,0.73961,0.63449,1.12562,0.30003,0.5889,0.0,1.25463,5.1925,0.0583,1.62359,0.95346,2.6712,0.40463,1.91442,0.32839,2.49023,3.14797,2.47888,1.33098,0.20942,3.39867
Bacteroides,20.8966,10.59324,20.91171,7.60732,2.76806,13.58091,9.96165,5.45427,6.3886,4.52901,24.58244,69.11316,12.58063,28.94033,5.34461,4.09302,23.82404,20.40198,5.37769,15.90529,3.32393,13.19679,5.35859,41.55681,11.58717,20.0871,13.21716,19.78776,22.21974,11.17705,11.7078,2.39863,3.11454,21.04375,27.48657,35.46719,31.21763,18.03543,17.66207,0.65672,31.30995,10.19405,21.85911,7.06796,4.87014,2.05751,0.72648,6.66396,18.61301,27.04845,2.67387,30.93497,11.91588,34.34116,14.55759,17.33532,18.06441,11.83187,28.03546,9.69118,8.28005,37.40979,6.88426,11.02093,12.85115,4.90524,9.88299,0.0,4.51889,4.73166,8.80805,5.38874,13.30748,22.72109,33.3419,2.86034,3.26945,6.17395,31.80764,0.1808,22.74349,24.73341,14.48601,14.89032,8.56593,6.03176,26.59215,15.53584,2.83166,6.56256,28.74018,17.37827,40.11495,24.65293,15.29353,4.0904,1.45291
Intestinibacter,0.01228,0.0,0.00195,0.13402,0.13107,0.05158,0.0,0.0,0.08583,0.03641,0.00074,0.0,0.05743,0.0,0.00779,0.02795,0.0422,0.0002,0.009,0.0,0.03828,0.0,0.01164,0.09162,0.0,0.0,0.18962,0.0,0.00105,0.02321,0.00152,0.0,0.05923,0.0019,0.01851,0.0,0.0,0.00397,0.0,0.00523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00096,0.0,0.0,0.01338,0.0,0.0,0.03553,0.0,0.0,0.03787,0.01865,0.02259,0.0,0.065,0.0,0.0,0.00706,0.11563,0.0,0.0,0.0,0.00407,0.02001,0.01609,0.04791,0.0,0.12227,0.0,0.44496,0.0,0.0,0.01821,0.00851,0.0,0.0,0.01027,0.03015,0.0,0.07996,0.01336,0.0,0.00524,0.02222,0.0,0.00997,0.0,0.0,0.03483,0.02681,0.0
