clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Eubacteriales,33.30346,35.23601,26.54843,34.20866,35.10367,58.2014,32.88561,38.74823,41.9504,27.61595,27.57355,18.53174,25.12886,25.85876,29.96922,31.62316,31.08834,30.18826,45.06359,46.2892,32.83704,29.16856,18.01261,18.77094,27.04589,45.09329,42.08515,26.38975,27.53329,46.496,41.01772,38.65321,29.03356,56.79135,27.66081,22.48036,16.27203,41.60977,36.60494,22.4195,29.18976,50.16819,29.4199,11.72003,25.10244,3.0656,6.6375,21.03349,22.09208,22.20286,46.97583,16.06007,6.87717,23.53269,42.85602,36.12219,40.50304,19.68604,19.99996,22.55244,12.39324,13.04663,25.86439,13.58081,28.92596,18.13594,49.79556,0.0,29.06475,25.58921,35.84136,44.94677,48.01928,10.3061,11.44289,34.41761,21.95274,18.99158,5.77185,14.2815,25.32899,4.0147,45.74537,45.80612,36.35496,29.37292,14.78977,25.64985,40.8788,23.99252,5.68911,41.17912,17.30325,11.05326,15.30894,45.27223,37.22015
Bacteroidales,54.46086,57.20022,64.24777,62.1358,58.45005,29.85388,49.75563,27.39318,50.50101,66.86409,62.70566,69.19387,60.69663,69.16859,45.53574,39.53068,48.28112,43.23168,26.78611,46.31534,53.35933,59.878,78.37602,58.94747,65.5908,36.42265,41.921,54.09094,53.14099,46.80864,39.57892,38.38947,53.00514,38.43309,61.00543,65.49423,76.25884,44.51887,54.51597,56.93569,61.72239,34.17375,60.94647,81.05805,64.99874,13.5469,76.10239,56.4446,62.91489,53.96485,42.33909,68.6774,26.63618,61.8102,43.76714,58.27186,50.57842,48.69686,75.67481,38.94492,80.85233,77.68581,42.67376,59.73812,42.96832,34.69854,29.87047,100.0,66.44116,69.89315,48.1032,35.48517,41.40205,64.8045,80.85791,15.47792,47.76402,77.6154,85.16571,73.00849,47.73533,95.9853,43.05079,28.85206,33.51363,32.28206,70.43869,64.96064,50.39446,40.08915,78.43135,17.88572,53.61241,65.54401,76.20046,38.78181,44.50124
Desulfovibrionales,3.40988,0.21943,4.13168,0.53855,0.01328,3.67206,3.39535,0.84086,0.0112,0.39296,0.98201,0.0,6.30991,0.30639,4.53137,1.21829,6.56383,0.28595,2.00115,2.925,0.07905,1.55096,0.24176,1.34327,1.0122,1.8749,2.42864,0.65177,2.10204,0.0,0.92276,1.75144,0.63709,0.33676,0.43842,0.4976,0.1744,2.93305,1.58542,1.51663,0.26928,0.44942,0.20855,0.07543,0.37632,0.0,1.64968,7.29303,0.91702,1.45132,0.00797,7.64668,0.02026,1.25171,2.62985,0.0,1.0576,0.98097,1.02599,0.02856,0.13667,0.14889,0.10399,0.0,0.27115,0.00548,0.41797,0.0,0.06923,0.37974,1.50794,0.36364,2.15935,0.0,0.00441,0.30483,0.0,0.22863,0.00733,0.05942,0.09005,0.0,1.34081,0.0,5.82519,0.09104,1.00544,0.04335,0.03622,0.61932,0.0,2.85643,1.0196,0.01731,1.33178,3.87803,0.0868
Erysipelotrichales,0.31854,0.62843,0.28741,0.01885,0.01786,0.22183,0.12162,0.90635,0.22484,0.17463,0.05236,0.18369,0.23568,1.0789,0.23464,0.67098,0.05916,0.4597,0.1213,0.00988,0.23119,0.33662,0.04761,0.05579,0.1672,0.09779,0.69479,0.62536,1.08645,0.8218,0.22331,0.39621,0.45791,0.13731,1.0681,0.81219,0.21556,0.28411,0.10632,0.22161,0.70033,0.29988,0.03315,0.0,0.10991,0.05154,0.42794,0.19927,0.0,0.08903,0.69645,0.13932,0.20637,0.0728,0.05086,0.97517,0.03342,0.0,0.21835,0.21089,0.17704,0.31532,0.01969,0.38085,0.28837,0.16674,0.07629,0.0,0.08345,0.09595,1.695,0.60153,0.15182,1.78458,0.0,0.70144,0.15071,0.09849,0.10663,0.76962,0.10806,0.0,0.40739,0.53725,0.06701,0.1006,0.27698,0.46408,0.11073,1.09492,0.14988,0.35066,1.15386,0.27562,0.15426,0.1196,0.29219
Clostridia_unclassified,0.01964,0.0724,0.6485,0.00408,0.0,0.14356,3.27919,0.19665,3.0462,0.0401,0.22204,0.0,0.08139,0.0,0.19731,0.32429,0.34119,0.11371,0.85406,0.10491,0.12426,0.02685,0.05952,0.0,0.0,0.47683,0.16217,0.12935,0.42689,0.07543,0.33021,0.9722,0.14565,0.18399,0.13093,0.15423,0.03292,0.26943,0.74605,0.09131,0.21875,0.22178,0.1312,0.07384,0.00043,0.06271,0.01765,0.0,0.0,0.17615,0.07706,0.00425,0.17133,0.0,0.0,0.0,0.07913,0.0,0.95101,0.02308,0.02958,0.06367,0.0,0.11054,0.1105,2.50867,0.0,0.0,0.15884,0.03371,0.0945,0.38047,0.0,0.0,0.0,0.04397,0.0,0.00899,0.0,0.07119,0.00992,0.0,0.05462,0.0,0.0,0.0494,0.01445,0.06287,0.57457,0.03655,0.0,0.00049,0.0,0.0,0.0,0.102,0.0
Fusobacteriales,0.70865,0.47325,0.0,0.0,0.0,0.0,0.0,0.0,2.57472,0.0017,2.56612,0.0,0.61803,1.42686,0.0,0.01029,0.0,0.0,0.0725,0.0,0.14926,0.0,0.09528,0.0,4.75595,0.0,0.44908,0.0,0.0228,0.0,0.0,0.0,0.0,0.03049,0.02664,2.08724,1.78178,0.00212,0.01715,0.01328,0.00306,0.02944,0.44473,0.0,0.00263,1.97743,0.01214,1.51728,0.27334,0.11703,1.12251,0.15726,7.1096,0.0,0.2306,0.0,0.00054,0.08259,0.0,1.01572,0.0,0.06445,0.00333,0.58247,0.0,2.53802,0.31202,0.0,0.02013,0.00555,0.67494,0.05147,0.0,4.23286,0.11435,0.13286,0.0,0.0,2.09998,0.0004,1.13155,0.0,0.04936,2.61324,0.12882,0.94507,0.04095,0.00167,0.00722,0.05646,2.79044,0.56713,3.21757,6.5783,0.01388,0.00767,9.56537
Burkholderiales,1.34633,1.29061,0.99835,0.0,0.27952,1.15787,0.0,0.30165,0.84823,1.54945,1.42016,0.0,1.34647,0.29669,1.31956,0.64142,1.37765,0.79568,0.53294,2.24611,0.94786,1.11643,0.36152,0.51086,0.67649,0.62882,1.13631,0.95672,0.78814,0.0,0.24564,1.55221,0.91644,1.48424,0.34061,1.83917,0.78086,0.35794,0.89796,0.17154,1.37126,0.20127,0.37578,3.77142,2.3062,0.16393,0.63696,0.82453,0.01071,0.17966,0.35075,1.08017,0.59502,0.02184,0.39673,0.61066,0.00419,15.20118,0.51283,0.11883,0.5843,0.8062,0.42606,0.00343,0.9745,1.2864,0.0752,0.0,0.76458,0.00302,0.97561,1.6781,0.04678,0.01398,0.0,0.6159,0.08881,2.44785,0.00438,1.62952,0.0022,0.0,0.94841,0.00344,0.21299,1.16594,1.81137,0.08632,1.33131,0.75703,6.21864,0.01337,1.89596,0.02166,0.38496,1.59191,1.37529
Acidaminococcales,3.36646,0.14284,1.42367,0.26729,0.08781,0.71095,3.68155,0.06692,0.31362,1.287,1.67302,0.0,1.09946,0.95753,0.01073,0.32515,0.13634,0.54433,0.75028,1.04048,0.2369,0.58201,1.84001,1.8695,0.04471,0.00253,0.15726,3.61609,0.89334,2.2332,0.49054,2.7976,1.78998,0.61668,2.1183,3.33791,1.99546,1.06006,1.30067,0.14864,2.57366,0.66338,2.48048,1.12375,0.31575,0.29813,0.63873,0.28348,0.0,0.91225,0.18159,0.42428,0.78583,0.0,0.18345,0.0,0.0035,0.0,0.00749,0.00331,3.07084,0.00108,0.11388,0.08339,1.01173,0.08417,0.04064,0.0,0.87472,0.02919,0.78486,1.20861,0.0,0.0,0.0,0.08378,3.37638,0.0,0.00039,0.50924,0.42953,0.0,0.00151,0.00022,0.02137,1.20134,2.84326,1.4392,0.40674,0.21479,0.35209,0.01463,5.39501,0.02283,2.96921,0.90524,0.13613
Pasteurellales,0.0,0.0,0.0,0.0,0.0,0.00309,0.0,0.00494,0.01238,0.00465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07411,0.44215,0.04467,0.0037,0.0,0.0,0.0,0.60668,0.0,1.91432,0.00112,0.0,0.0,0.01225,0.04511,0.00278,0.0,0.0,0.02009,0.00355,0.02364,0.02377,0.0925,0.0,0.00232,0.03088,0.0984,0.62948,4.05699,0.72992,0.05678,1.51435,0.02548,0.34271,0.02818,0.03536,0.57542,0.00132,0.37805,0.2332,3.00093,0.00692,0.0,0.24697,2.42781,1.50196,5.26712,0.0928,0.0,0.03766,0.14447,0.0398,0.01668,0.00757,0.31539,0.01046,0.74755,0.30165,0.0952,0.16611,0.03573,2.47241,0.0,0.03922,6.12403,0.69509,0.19636,0.20712,0.01171,0.86866,0.32763,0.29256,2.3712,0.03109,3.79578,0.01159,0.01563,1.09445
Lactobacillales,0.01972,1.27172,0.05121,0.00671,0.0,1.93517,0.112,1.86022,0.00041,0.54774,0.02981,0.01526,0.43562,0.01627,0.34228,3.55243,0.90231,0.27634,2.26439,0.0,0.88197,0.34913,0.0056,2.89293,0.0,1.39569,2.25656,4.46586,2.79283,0.09086,0.28137,0.10182,5.17045,0.24399,0.13156,0.04544,0.0185,1.94699,0.00722,0.72184,0.11606,6.23706,0.0,0.02435,0.9329,0.33154,3.46439,2.24986,1.0592,4.57335,1.79414,2.94452,0.81008,3.89867,0.20058,0.27477,3.43359,9.30129,0.34268,5.98412,1.56467,1.88472,0.9527,6.12249,0.95716,5.64003,7.04615,0.0,0.07729,0.22261,0.12188,1.14306,1.59483,8.30212,6.00025,31.5603,10.45964,0.01886,0.91049,0.06868,4.13374,0.0,1.9952,4.94471,6.53459,7.15259,0.85251,0.11143,1.87596,8.72228,3.04133,0.6788,9.63243,3.20431,0.05832,0.77604,1.1409
