clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Firmicutes,39.32245,39.97148,30.33695,35.92544,38.8796,64.71187,43.98912,59.64932,45.93918,30.25598,31.12208,19.17185,29.56314,28.2278,42.52411,49.59671,41.1785,39.9084,65.34655,47.99442,37.57452,35.54129,20.56107,37.4492,27.59371,59.67656,50.2783,43.02306,39.06687,52.21067,49.42561,52.30181,42.38325,58.94187,35.43733,27.53292,18.57329,48.14293,42.03697,38.67745,33.78329,64.23175,32.08269,13.90839,28.99997,4.00156,16.67696,28.69901,30.69521,43.77411,52.73033,20.96892,11.69772,32.7766,46.44597,40.31229,47.35173,33.29817,22.21558,55.44746,17.73792,20.22253,34.53875,29.83126,37.64378,55.51861,65.56464,0.0,30.31282,28.22375,45.87776,54.36944,51.03239,26.23364,18.29861,80.25732,41.19128,19.46069,10.42024,21.25807,45.17446,4.0147,52.66341,60.51324,59.25497,63.00289,20.4988,28.83917,45.71937,52.28106,10.94917,44.88323,34.80871,21.16891,19.98369,51.62199,41.24363
Bacteroidetes,54.46086,57.22408,64.24777,62.1358,58.45235,29.85388,49.75563,28.60366,50.50101,66.87122,62.7198,69.19387,60.80843,69.16859,50.17285,44.08221,48.28112,45.62984,27.19891,46.33304,55.84236,59.91836,78.37602,59.69318,65.5908,36.51921,42.01627,54.09094,53.91701,46.80864,39.99647,41.59965,53.16326,38.47871,61.00543,67.76842,76.27363,47.90893,54.51597,56.95954,61.758,34.17375,60.94647,81.15268,65.57322,13.5469,77.27868,56.45089,62.91489,53.97729,42.35768,68.71047,26.63618,61.8102,43.76714,58.27186,50.5817,48.69686,75.67872,38.94512,80.98097,77.68581,42.93958,59.74018,43.12465,34.69854,33.28872,100.0,66.44116,69.90555,48.10668,40.08472,41.40205,64.8045,80.85791,15.47792,50.90257,77.6154,85.16571,76.70389,47.73533,95.9853,43.05079,28.85244,33.51363,32.28206,70.43907,64.96074,50.39446,42.0787,78.43135,17.88572,53.63613,65.54693,76.20046,42.2159,44.51233
Proteobacteria,5.47932,2.17263,5.20935,1.82398,2.59077,4.89014,3.63057,8.06119,0.95979,2.08738,3.39361,11.21442,8.13498,0.84225,6.01566,3.36843,9.24791,1.41352,4.32373,5.27909,1.78687,4.40969,0.73909,2.1533,2.05954,3.02934,4.60453,2.61594,6.81562,0.1738,6.5365,6.0266,2.08652,2.29636,2.572,2.41558,1.42715,3.72679,2.84921,1.80331,2.63368,1.5508,6.45821,3.86893,5.23622,80.3095,5.96644,13.26588,6.1136,1.70858,3.01205,10.02009,54.15349,3.88107,9.51901,1.26374,1.12881,16.65575,1.85775,4.07631,0.93543,1.05299,22.19427,9.72526,9.60895,7.1523,0.69849,0.0,3.10798,1.70522,3.73736,2.94317,7.49587,2.51407,0.01943,1.68261,7.74496,2.82266,2.28435,1.91086,5.65323,0.0,3.9695,6.45199,7.01104,3.45977,3.97953,4.17946,2.95517,5.2074,6.64803,34.4345,8.33521,4.96132,3.77803,5.52318,4.65229
Fusobacteria,0.70865,0.47325,0.0,0.0,0.0,0.0,0.0,0.0,2.57472,0.0017,2.57713,0.0,0.61803,1.42686,0.0,0.01029,0.0,0.0,0.0725,0.0,0.14926,0.0,0.28494,0.0,4.75595,0.0,0.44908,0.0,0.0228,0.0,0.0,0.0,0.0,0.03049,0.02664,2.08724,1.78178,0.0277,0.01715,0.01328,1.75346,0.02944,0.44473,0.0,0.00263,1.97743,0.01214,1.51728,0.27334,0.11703,1.12251,0.15726,7.1096,0.0,0.2306,0.0,0.00054,0.08259,0.0,1.01572,0.0,0.06445,0.00333,0.58247,0.0,2.53802,0.31202,0.0,0.02013,0.00555,1.27613,0.05147,0.0,4.23286,0.11435,0.13286,0.0,0.0,2.09998,0.0004,1.13155,0.0,0.04936,2.61324,0.12882,0.94507,0.04095,0.00167,0.00722,0.05646,3.78793,0.56713,3.21757,8.21206,0.01603,0.00767,9.56537
Actinobacteria,0.02872,0.15347,0.20594,0.11479,0.07728,0.49571,2.62469,0.41561,0.02529,0.38032,0.18738,0.41986,0.77505,0.33449,1.01127,0.56333,1.14362,5.1429,0.15658,0.39345,0.11718,0.12311,0.03473,0.70432,0.0,0.29608,2.48328,0.27006,0.14861,0.8055,3.82443,0.05369,0.40891,0.20383,0.9586,0.19585,1.94087,0.12828,0.57213,2.54536,0.06864,0.01426,0.06789,0.00154,0.13497,0.16461,0.06578,0.06299,0.00297,0.41369,0.76932,0.14326,0.23585,0.06647,0.03728,0.15211,0.93722,1.26662,0.14532,0.51242,0.31609,0.9691,0.32407,0.11363,8.55357,0.09253,0.03531,0.0,0.11791,0.08814,0.93504,0.90933,0.0,2.21419,0.70835,2.44929,0.05981,0.10125,0.02973,0.12544,0.3044,0.0,0.17505,1.54429,0.0858,0.2814,4.81447,0.32335,0.91626,0.23812,0.18352,2.17195,0.00078,0.09032,0.01725,0.54013,0.02638
Candidatus_Melainabacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29811,0.0,0.0,0.57608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13391,0.0,0.0,0.0,0.04389,0.0,0.0,0.0,0.00317,0.0
Verrucomicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31956,0.0,0.4034,0.0,0.0,0.0,0.0,0.00029,0.11233,0.0,7.81547,1.99762,0.0,0.0,0.00273,0.0,0.0,0.0,0.36403,0.00556,0.0,0.0,0.0,0.00313,0.0,0.288,0.04648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21182,0.0,0.0,0.0,0.00395,0.0,0.0,0.00793,0.0,0.16715,1.46565,0.0,0.0,0.0,0.0,0.09487,0.0,0.02959,0.00512,0.0,0.0,0.77196,0.0,0.10082,0.0,0.0,0.0,0.04841,0.80016,0.06969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05543,0.0,0.0,0.0,0.00111,1.51055,0.00721,0.00102,0.0,0.00732,0.0,0.0,0.0,0.03079,0.0
Tenericutes,0.0,0.0,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.09476,0.0,0.0,0.11032,0.0,0.0,0.0,0.0,0.12856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00777,0.0,0.0,0.0,0.0,0.0,0.02643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156,0.0,0.0,0.0,0.0,0.0
Lentisphaerae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08849,0.0,0.0,0.05242,0.0,0.01904,0.0,0.0,0.0,0.0,0.0,0.10289,0.0,0.01094,0.0,0.03654,0.0,0.04666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85665,0.00129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.19764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05645,0.0
Synergistetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95067,0.0,0.0,0.0,0.0,0.00395,0.0,0.0,0.00725,0.14885,0.08987,0.24645,0.0,0.00526,0.00481,0.0,0.0,0.0,0.07634,0.00074,0.0,0.0,0.0,0.10465,0.01824,0.01078,0.0,0.0,0.0,0.0,0.0,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01448,0.0,0.0,0.0,0.0,0.07179,0.00646,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00419,0.18139,0.0,0.0,0.00992,0.0,0.0,0.0,0.00139,0.0,0.0,0.0
