clade_name,HD_10,HD_12,HD_13,HD_14,HD_15,HD_16,HD_17,HD_18,HD_19,HD_23,HD_24,HD_25,HD_29,HD_3,HD_32,HD_33,HD_34,HD_36,HD_37,HD_4,HD_41,HD_43,HD_44,HD_47,HD_49,HD_5,HD_53,HD_54,HD_56,HD_58,HD_59,HD_6,HD_62,HD_65,HD_68,HD_69,HD_70,HD_72,HD_73,HD_77,HD_78,LD_1,LD_10,LD_13,LD_17,LD_18,LD_19,LD_20,LD_21,LD_24,LD_26,LD_27,LD_28,LD_30,LD_32,LD_36,LD_39,LD_40,LD_41,LD_44,LD_46,LD_49,LD_50,LD_51,LD_52,LD_53,LD_54,LD_56,LD_58,LD_59,HD_79,HD_81,LD_6,LD_61,LD_63,LD_64,LD_65,LD_67,LD_69,LD_7,LD_70,LD_71,LD_73,LD_77,LD_78,LD_79,LD_81,LD_83,LD_85,LD_86,LD_87,LD_88,LD_89,LD_92,LD_95,LD_97,LD_98
Roseburia_inulinivorans,3.66483,1.1491,1.74656,0.0957,0.9043,2.74757,0.66348,0.04314,0.11076,1.41178,3.21446,0.0,0.31292,1.9655,0.01659,1.51398,0.66839,0.0017,0.32184,2.19526,4.66,0.07639,0.00052,0.57497,0.0,0.0229,1.88862,0.05766,1.42731,0.67697,0.00696,0.17011,0.05594,0.49117,0.03456,1.17312,0.05624,0.57261,0.6874,0.95023,0.20774,0.00927,0.0,0.49097,0.33311,0.0,0.12623,0.02783,1.42615,2.43865,2.11058,0.00295,0.10308,0.68391,2.13395,0.0,0.39592,0.0,0.2835,0.00263,0.0,0.00402,6.43113,0.00365,0.41849,0.00426,0.00753,0.0,2.96221,0.37966,2.58288,2.33519,1.03155,0.00166,0.00106,3.60728,0.0619,3.53033,0.01315,0.01539,0.0344,0.0,1.04516,0.0,2.33968,1.45198,0.02168,4.09739,0.11614,0.05218,2.581,0.13185,0.00302,0.0158,2.07957,0.00873,2.40781
Phocaeicola_vulgatus,1.03993,2.64302,24.13642,2.72198,0.80493,6.52929,13.94027,0.60193,25.07,6.57643,11.06658,0.02172,6.44509,20.33539,0.53319,2.99243,0.02203,3.18721,0.22709,10.46272,0.92008,5.75916,11.69872,4.51216,24.98926,4.78432,2.20794,2.88054,4.41836,0.03992,1.98174,2.97763,1.68838,10.88755,0.23107,0.38296,0.34185,12.0,0.2104,1.45683,14.65136,7.55518,19.52707,1.81131,1.34045,4.27847,0.05856,7.59542,10.24286,21.65284,4.1558,36.32868,13.33442,7.28646,11.56668,0.096,0.02789,0.00748,0.39881,19.9012,0.59437,19.80346,0.11978,3.42161,22.39083,6.10168,14.22799,64.94357,4.26766,1.41514,17.80495,8.94995,25.93813,26.69665,3.67875,0.13054,0.89245,8.10886,47.36044,0.28593,5.32038,51.32825,10.39786,0.01078,10.87754,5.99885,19.41551,23.15625,3.5458,5.02211,20.04171,0.07364,0.14682,20.80457,12.90259,4.76351,12.39618
Roseburia_faecis,0.02262,0.30418,4.00844,2.69571,1.55169,1.30612,0.0,0.34434,0.76262,0.45979,0.32801,0.0,0.15659,0.0,0.55208,2.03839,3.68522,0.56592,0.00536,0.00048,2.13395,0.26413,0.00264,0.0,0.0,0.16343,1.22475,0.23268,1.02586,0.07438,0.00162,0.03408,0.03055,1.02596,0.00883,0.0044,0.50435,1.24409,1.64117,0.29992,0.01022,0.0,0.0,0.15251,0.0194,0.0,0.0,0.0,0.00039,0.0,0.65576,0.00016,0.0,0.0,0.03683,0.0,0.06348,4.40082,0.50068,0.01208,0.0,0.001,0.00342,0.0,0.05816,0.0008,0.87008,0.0,0.0,0.0102,0.96508,0.12915,0.52493,0.0,0.0,0.83426,0.64337,0.0,0.0048,2.30064,0.0,0.0,0.9838,0.00081,7.71059,3.5081,0.02028,0.04585,0.00341,0.02304,0.0,2.03437,0.0058,0.00305,0.02894,0.0162,0.0
Roseburia_intestinalis,0.0,0.8444,0.0,0.05817,0.0,0.20756,0.0,0.0,0.44291,0.0,0.0,0.0,0.2592,0.35831,0.0,0.00224,0.0,0.0,0.00035,0.00085,0.97112,0.00555,0.0,0.0,0.0,0.29669,2.93532,0.0,1.36775,0.0,0.0,0.0,0.0,1.12469,1.1591,0.01031,0.00064,0.5083,0.0,0.07234,0.0,0.0,0.0,0.0826,0.00862,0.0,0.0,0.0,0.06609,0.0,0.0069,0.0,0.0,0.0,0.39857,0.0,0.0,0.04978,0.12128,0.0853,0.00928,0.0,0.0,0.9666,0.01061,0.00496,0.09759,0.0,0.0,0.0,0.00606,0.06805,0.97114,0.00387,0.00396,8.96297,0.00932,0.0,0.00781,0.19609,0.01195,0.0,0.10139,0.0,0.0,0.03929,0.0,0.39034,0.0,0.00069,0.0,0.01886,0.0,0.00226,0.0,0.00145,0.30046
Desulfovibrio_SGB5077,2.46272,0.0,0.0,0.09691,0.01328,3.51515,2.37656,0.0,0.0,0.27489,0.42481,0.0,4.85088,0.17271,4.27012,0.01221,6.31208,0.0,0.0,0.0,0.02253,1.31408,0.0,1.12081,1.0122,0.00185,0.0288,0.0,1.86393,0.0,0.00718,1.6436,0.32388,0.12121,0.01767,0.06676,0.0,2.62384,1.30126,1.47706,0.04143,0.28417,0.00409,0.0,0.09686,0.0,1.62668,7.29303,0.91702,1.22795,0.0,7.61819,0.0,1.21364,2.62985,0.0,0.9444,0.0,0.0,0.00051,0.0,0.0012,0.0,0.0,0.0,0.00409,0.36987,0.0,0.0,0.00329,0.0,0.0,2.10819,0.0,0.0,0.30483,0.0,0.0,0.00433,0.0,0.00072,0.0,1.22513,0.0,5.78919,0.01557,0.02345,0.0207,0.00023,0.26212,0.0,0.0161,0.01326,0.01731,1.08859,3.63977,0.0868
Faecalibacterium_prausnitzii,3.66646,5.48076,5.45644,5.64248,4.75646,14.95847,11.30007,5.3627,11.70487,7.53473,1.80617,0.00345,3.60532,0.4495,5.49886,3.70566,5.48402,2.39485,2.16127,10.82496,1.82534,2.68281,2.54137,2.83902,11.13565,5.22828,4.96903,2.29509,5.43901,8.13421,4.78592,4.60901,2.7757,7.06894,6.02485,4.5786,2.31875,6.85307,8.19447,6.84265,4.61821,7.12078,13.77106,2.72369,2.0099,1.22447,2.57121,8.59933,14.82756,3.12542,4.59981,7.54238,1.92835,2.83175,6.527,23.82788,13.31336,3.88097,3.97314,5.52668,4.87491,6.19281,3.79931,0.79356,1.7688,7.56727,16.72948,0.0,8.01587,7.94268,5.49038,5.76363,2.5611,0.01564,7.91946,1.66868,4.40484,6.35112,0.03533,4.18344,14.32203,0.0,5.8126,17.69999,8.59485,5.40101,2.29814,5.46018,5.6857,4.13196,0.58696,22.19407,0.03294,0.07186,3.96036,3.93496,3.1997
Lachnospira_eligens,0.35556,3.94131,0.11818,1.10411,6.00146,5.75696,0.00304,0.3716,3.51574,1.80686,1.39656,0.0,3.22343,0.03486,0.43263,1.70391,5.21844,0.09522,5.81355,1.90414,1.78603,4.56028,3.5791,1.57923,0.0,2.16325,2.74758,1.11247,3.12515,11.02593,2.04476,7.35498,0.04594,10.98571,1.97164,0.05236,3.9559,0.23132,0.01169,1.00549,0.95078,9.87237,0.04379,0.05109,2.204,0.0037,0.00042,0.14947,0.0736,6.59739,2.10551,0.07324,0.01679,8.89081,8.75543,3.57334,6.75018,0.0,0.00019,0.72849,0.03072,1.15159,1.7713,0.02967,0.87858,0.01086,13.70932,0.0,0.01062,3.43763,2.37814,0.16165,4.78456,0.0,0.00051,1.10419,0.03157,0.1351,0.06062,1.23218,1.04754,0.0,7.5801,0.0,7.53587,0.11699,0.89823,0.00887,14.55684,0.01251,0.0,2.67994,0.03105,0.46572,1.20383,4.93229,0.00913
Blautia_stercoris,0.05081,0.0,0.0,0.0,0.0,0.094,0.0,0.00639,0.0,0.07883,0.08416,0.0,0.0492,0.0,0.12008,0.00022,0.04369,0.09871,0.00443,0.27087,0.0,0.0,0.0,0.0,0.0,0.02623,0.01249,0.04122,0.10067,0.0,0.0,0.14384,0.05333,0.0,0.24478,0.60688,0.0,0.00149,0.0,0.0,0.12928,0.18581,0.0,0.05084,0.0,0.0,0.02213,0.0,0.0457,0.0,0.0,0.23605,0.0,0.04141,0.00977,0.0,0.0,0.0,0.06784,0.05324,0.0,0.00628,0.03239,0.0,0.0,0.0,0.26286,0.0,0.0,0.00016,0.1057,0.16669,0.0,0.0,0.0,0.0,0.0,0.05703,0.0,0.02431,0.01234,0.0,0.0,0.0,0.21825,0.0,0.0642,0.0,0.0,0.0,0.0,9e-05,0.0,0.0,0.0,0.1947,0.0
Phocaeicola_plebeius,11.85028,26.38865,8.02525,11.49003,2.46265,0.0,0.0,0.1881,0.0,7.28753,0.09448,0.0,0.00269,0.09122,0.27725,6.79383,0.00068,0.35683,0.0,0.02558,1.22133,7.78226,38.75496,0.0,0.0,0.00396,2.55635,2.16625,0.60733,1.45301,1.35018,0.33206,0.23697,0.0,0.04475,15.05703,0.14573,0.04284,18.7816,27.2132,7.4229,11.34734,0.0,9.51709,10.72217,5.58729,1.73208,0.0,0.11625,0.0,1.23716,0.00591,0.0,6.7376,0.01194,0.0,0.0,29.18091,0.00612,0.029,2.49652,0.02988,0.03906,23.40022,0.53057,14.78634,0.04184,0.0,6.20044,0.18326,0.0238,0.37055,0.0,0.04619,34.84388,0.0318,1.06133,5.17077,0.03837,0.91344,0.0,0.0,3.58828,0.014,0.05318,10.68589,6.7304,0.0386,0.00462,1.37302,12.37993,0.008,0.08377,0.10655,36.30971,8.40716,11.40688
Phocaeicola_coprophilus,0.0,0.0,0.0,0.0,7.0615,0.0,0.0,0.07186,0.0,0.0,0.0,0.0,0.0,0.0,0.00197,3.05094,0.0,0.00187,0.0,0.0,0.0,0.00594,0.00306,0.0,0.0,0.0,0.00213,0.0,0.0,0.00568,0.0,0.0,4.00161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82626,0.0,0.0,0.0,0.0,0.0,0.0025,6.92489,0.00688,0.0,0.0,0.0,0.00158,0.0,0.0,0.0,0.0114,0.0,0.0,0.0,0.0056,0.00994,11.63343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59135
Clostridium_sp_AF34_13,0.0,0.0,0.35749,0.10245,0.02272,0.74118,0.0,0.0,0.00251,0.0,0.0,0.0,0.00209,0.17064,0.0,0.0,0.0,0.0,0.00496,0.0,0.0,0.0,0.0,0.01964,0.52878,0.02073,1.05885,0.0,0.0,0.0,0.0,0.0801,0.03678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21371,0.0,0.0,0.0,0.0,0.0,0.06167,0.0,0.0,0.0,0.0,0.0012,0.0,0.11315,0.00933,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus_lactaris,0.0,0.0,0.0,0.0,0.0254,0.0,0.27978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43847,0.66325,0.05121,0.19148,0.00167,0.26653,0.0,0.02043,0.0,0.00399,1.46693,0.21034,0.06808,0.74899,0.0,0.0,0.0,0.01353,0.07703,0.0,0.3835,0.13753,0.26181,0.16206,0.09804,0.0,0.0,0.13738,0.0,0.02563,0.22192,0.0,0.0,0.21463,0.0,0.00282,0.0,0.0,0.0,0.0,0.36633,0.0,0.15554,0.0,0.09473,0.21086,0.0,0.0,0.06606,0.0,0.0,0.65217,0.0,0.0,0.33201,0.00017,0.0,0.38893,0.43128,0.0,0.0,0.0,0.0,0.41232,0.00139,0.01315,0.0,0.0,0.63634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00538,0.0,0.0,0.0,0.1519,0.0
